VDotÂ ,E_min,E_max,M,T,I,R
30,8:14,7:27,7:03,6:24,5:55,5:35
31,8:02,7:16,6:52,6:14,5:45,5:25
32,7:52,7:05,6:40,6:05,5:35,5:15
33,7:41,6:55,6:30,5:56,5:27,5:08
34,7:31,6:45,6:20,5:48,5:20,5:00
35,7:21,6:36,6:10,5:40,5:12,4:45
36,7:11,6:27,6:01,5:33,5:07,4:30
37,7:02,6:19,5:53,5:26,5:00,4:30
38,6:54,6:11,5:45,5:19,4:54,4:30
39,6:46,6:03,5:37,5:12,4:48,4:25
40,6:38,5:56,5:29,5:06,4:42,4:20
41,6:31,5:49,5:22,5:00,4:36,4:15
42,6:23,5:42,5:16,4:54,4:31,4:10
43,6:16,5:35,5:09,4:49,4:26,4:05
44,6:10,5:29,5:03,4:43,4:21,4:00
45,6:03,5:23,4:57,4:38,4:16,3:55
46,5:57,5:17,4:51,4:33,4:12,3:50
47,5:51,5:12,4:46,4:29,4:07,3:45
48,5:45,5:07,4:41,4:24,4:03,3:40
49,5:40,5:01,4:36,4:20,3:59,3:40
50,5:34,4:56,4:31,4:15,3:55,3:35
51,5:29,4:52,4:27,4:11,3:51,3:30
52,5:24,4:47,4:22,4:07,3:48,3:30
53,5:19,4:43,4:18,4:04,3:44,3:20
54,5:14,4:38,4:14,4:00,3:41,3:20
55,5:10,4:34,4:10,3:56,3:37,3:20
56,5:05,4:30,4:06,3:53,3:34,3:15
57,5:01,4:26,4:03,3:50,3:31,3:15
58,4:57,4:22,3:59,3:46,3:28,3:10
59,4:53,4:19,3:56,3:43,3:25,3:05
60,4:49,4:15,3:52,3:40,3:23,3:05
61,4:45,4:11,3:49,3:37,3:20,3:00
62,4:41,4:08,3:46,3:34,3:17,3:00
63,4:38,4:05,3:43,3:32,3:15,2:55
64,4:34,4:02,3:40,3:29,3:12,2:55
65,4:31,3:59,3:37,3:26,3:10,2:50
66,4:28,3:56,3:34,3:24,3:08,2:50
67,4:24,3:53,3:31,3:21,3:05,2:45
68,4:21,3:50,3:29,3:19,3:03,2:45
69,4:18,3:47,3:26,3:16,3:01,2:40
70,4:15,3:44,3:24,3:14,2:59,2:40
71,4:12,3:42,3:21,3:12,2:57,2:35
72,4:09,3:40,3:19,3:10,2:55,2:35
73,4:07,3:37,3:16,3:08,2:53,2:35
74,4:04,3:34,3:14,3:06,2:51,2:30
75,4:01,3:32,3:12,3:04,2:49,2:30
76,3:58,3:30,3:10,3:02,2:48,2:25
77,3:56,3:28,3:08,3:00,2:46,2:25
78,3:53,3:25,3:06,2:58,2:44,2:25
79,3:51,3:23,3:03,2:56,2:42,2:20
80,3:49,3:21,3:01,2:54,2:41,2:20
81,3:46,3:19,3:00,2:53,2:39,2:20
82,3:44,3:17,2:58,2:51,2:38,2:15
83,3:42,3:15,2:56,2:49,2:36,2:15
84,3:40,3:13,2:54,2:48,2:35,2:15
85,3:38,3:11,2:52,2:46,2:33,2:15